Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
,What Video Games Have to Teach Us About Learning and Literacy,James Paul Gee,,,1466886420,9781466886421,5,,Palgrave Macmillan,eBook,249,2007/01/01,,,,read,,read,"(Titolo italiano: Come un videogioco)<br>I principi di apprendimento che si ritrovano perfettamente funzionanti all'interno dei videogiochi analizzati a fondo e reinterpretati nell'ottica di come potrebbero essere applicati a scuola. Su alcuni aspetti mostra un po' i suoi dieci anni, ma rimane un libro interessantissimo e penso comprensibile anche per chi di videogiochi non capisce una fava. ",,,1,1
,Pirate Cinema,Cory Doctorow,,,1429943181,9781429943185,,,Tor Books,eBook,368,2012/10/02,,,,to-read,,to-read,,,,0,0
,Pump Six and Other Stories,Paolo Bacigalupi,,,1597802379,9781597802376,,,Night Shade Books[Start],eBook,248,2008/02/01,,,,to-read,,to-read,,,,0,0
,Zoo City,Lauren Beukes,,,085766056X,9780857660565,,,Angry Robot,eBook,416,2010/01/01,,,,to-read,,to-read,,,,0,0
,Magic for Beginners,Kelly Link,,,000724200X,9780007242009,,,HarperCollins Publishers,Paperback,304,2007/02/05,,,,to-read,,to-read,,,,0,0
,Pride and Prejudice and Zombies,Seth Grahame-Smith,,Jane Austen,1594743347,9781594743344,3,,Quirk Books,Paperback,320,2009/04/15,,,,read,,read,,,,1,1
,Poesie d'amore,Pablo Neruda,,Hermann Hesse,8879834045,9788879834049,,,Newton Compton (Grandi Tascabili Newton),Boxset,400,1992/01/01,,,,to-read,,to-read,,,,0,0
,Io sono un gatto,Natsume Soseki,,,8873059279,9788873059271,4,,Neri Pozza,Paperback,510,2009/09/03,,,,read,,read,,,,1,1
,Scheletri,Stephen King,,,8878245739,9788878245730,3,,Sperling & Kupfer,Paperback,560,1996/08,,,,to-read,,to-read,,,,0,0
,"Tutti i romanzi, i racconti, pensieri e aforismi",Franz Kafka,,,8854117099,9788854117099,,,Newton Compton,Paperback,941,2010/01/14,,,,to-read,,to-read,,,,0,0
,La scienza di Mondo Disco,Jack Cohen,,"Ian Stewart, Terry Pratchett",8862561555,9788862561556,,,Salani,Paperback,462,2010/02/18,,,,to-read,,to-read,,,,0,0
,Il caso Genchi,Edoardo Montolli,,,8874244770,9788874244775,,,Aliberti,Paperback,983,2009/12/03,,,,to-read,,to-read,,,,0,0
,If Chins Could Kill!,Bruce Campbell,,,1845134745,9781845134747,4,,Aurum,Mass Market Paperback,342,2009/01/01,,,,read,,read,,,,1,1
,Dogs and Demons,Alex Kerr,,,0141010002,9780141010007,4,,Penguin Books Ltd,Paperback,448,2002/02/16,,,,read,,read,,,,1,1
,Dead Space: Martyr,B. K. Evenson,,,0765325039,9780765325037,2,,Tor Books,Paperback,416,2010/01/01,,,,read,,read,,,,1,1
,Storie di animali e altri viventi,Alberto Asor Rosa,,,880617276X,9788806172763,4,,Einaudi,Paperback,173,2005/02/08,,,,read,,read,,,,1,1
,Viaggio al termine della notte,Louis-Ferdinand Céline,,,8879720171,9788879720175,,,Corbaccio,Paperback,575,1992/06/03,,,,to-read,,to-read,,,,0,0
,The Master of Go,Yasunari Kawabata,,,0679761063,9780679761068,5,,Vintage,Paperback,208,1996/05/28,,,,read,,read,,,,1,1
,Invasion,Mercedes Lackey,,,1439134197,9781439134191,3,,Baen Books,Others,448,2011/03/01,,,,read,,read,,,,1,1
,To Kill a Mockingbird,Harper Lee,,,0099549484,9780099549482,,,Cornerstone,Paperback,320,2010/06/24,,,,to-read,,to-read,,,,0,0
,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,,,0345453743,9780345453747,,,Del Rey,Paperback,832,2002/04/30,,,,to-read,,to-read,,,,0,0
,Born Standing Up,Steve Martin,,,1416553657,9781416553656,4,,Scribner,Softcover,224,2008/09/02,,,,read,,read,,,,1,1
,Living Dead In Dallas,Charlaine Harris,,,0575089385,9780575089389,2,,Gollancz,Paperback,279,0101/01/01,,,,read,,read,,,,1,1
,Blood Meridian,Cormac McCarthy,,,0330510940,9780330510943,,,Picador,Paperback,352,2010/01/01,,,,to-read,,to-read,,,,0,0
,Une journée Montessori,Audrey Zucchi,,,2501119894,9782501119894,,,Marabout,Paperback,352,2017/01/01,,,,to-read,,to-read,,,,0,0
,The Book of Basketball,Bill Simmons,,,034551176X,9780345511768,5,,ESPN Video,Hardcover,736,2009/10/27,,,,read,,read,,,,1,1
,Il manuale del giovane naturalista,Liliana Pizzorni,,,8845015181,9788845015182,4,,Fabbri,Hardcover,192,1980/01,,,,to-read,,to-read,,,,0,0
,Giappone. Potere e splendore 1568-1868,,,,8871796268,9788871796260,4,,24 Ore Cultura,Paperback,382,2009/12/10,,,,to-read,,to-read,,,,0,0
,Shunga,,,,8820219344,9788820219345,4,,Mazzotta,Paperback,176,2009/11/12,,,,to-read,,to-read,,,,0,0
,Devil Red,Joe R. Lansdale,,,8834716515,9788834716519,3,,Fanucci,Paperback,283,2010/09/30,,,,read,,read,,,,1,1
,Can I Keep My Jersey?,Shirley,,Paul and Klosterman,0345495705,9780345495709,4,,Random House USA Inc,Paperback,336,2008/03/25,,,,read,,read,,,,1,1
,A volte ritornano,Stephen King,,,8846200047,9788846200044,4,,RL Libri,Mass Market Paperback,384,1997/03,,,,to-read,,to-read,,,,0,0
,L'uomo in fuga,Stephen King,,,8820022508,9788820022501,3,,Sperling & Kupfer,Hardcover,240,1997/09/02,,,,to-read,,to-read,,,,0,0
,Bossypants,Tina Fey,,,0316056863,9780316056861,,,"Little, Brown & Company",Hardcover,288,2011/04/05,,,,to-read,,to-read,,,,0,0
,Saturday night live,James A. Miller,,Tom Shales,8874966059,9788874966059,3,,Kowalski,Paperback,655,2004/10/29,,,,to-read,,to-read,,,,0,0
,Conversations with Scorsese,Richard Schickel,,,0307268403,9780307268402,,,Alfred A. Knopf,Hardcover,448,2011/04/01,,,,to-read,,to-read,,,,0,0
,Big Sur,Jack Kerouac,,,0143119230,9780143119234,,,Penguin Books,Paperback,224,2011/04/26,,,,to-read,,to-read,,,,0,0
,Season on the Brink,John Feinstein,,,0671688774,9780671688776,,,Simon & Schuster,Softcover,352,1989/11/15,,,,to-read,,to-read,,,,0,0
,Now I Can Die in Peace,Bill Simmons,,,1933060131,9781933060132,,,ESPN Books,Paperback,384,2006/09/05,,,,to-read,,to-read,,,,0,0
,The art of Osamu Tezuka,Helen McCarthy,,,0810982498,9780810982499,,,Harry N. Abrams,Hardcover,272,2009/10/01,,,,to-read,,to-read,,,,0,0
,The Grapes of Wrath,John Steinbeck,,,0142000663,9780142000663,,,Penguin Putnam Inc,Paperback,455,2009/09/01,,,,to-read,,to-read,,,,0,0
,Entombed in Alcatraz,Robert Victor Luke,,,0578082950,9780578082950,,,Robert Victor Luke,Paperback,126,2011/01/01,,,,to-read,,to-read,,,,0,0
,Sacred Hoops,Hugh Delehanty,,Phil Jackson,1401308813,9781401308810,,,Hyperion,Paperback,240,2006/10/17,,,,to-read,,to-read,,,,0,0
,Pistol,Mark Kriegel,,,0743284976,9780743284974,,,Free Press,Hardcover,400,2007/02/06,,,,to-read,,to-read,,,,0,0
,Marley & Me,John Grogan,,,0060817089,9780060817084,5,,William Morrow & Company,Hardcover,291,2005/10/18,,,,read,,read,"Sul tema sono vittima facile, però era da un pezzo che un libro non mi faceva ridere in questa maniera e sudare gli occhi così tanto. Bello.",,,1,1
,Il fu Mattia Pascal,Luigi Pirandello,,,8842430463,9788842430469,4,,Mondadori Bruno Scolastica,Others,384,1991/01/01,,,,to-read,,to-read,,,,0,0
,Harry Potter e la pietra filosofale,J. K. Rowling,,,8877827025,9788877827029,3,,Salani,Hardcover,293,1998/01/01,,,,to-read,,to-read,,,,0,0
