ISBN,Title,Subtitle,Author,Format,Number of pages,Publisher,Date of publication,Private notes,Comment Title,Comment Content,Reading status,Vote,Tags
9788804682974,Fiabe italiane,raccolte dalla tradizione popolare durante gli ultimi cento anni e trascritte in lingua dai vari dialetti,Italo Calvino,Paperback,1015,Mondadori,2017-09-08,,,,,,
9788838923418,L'anno del giardiniere,,Karel Capek,Paperback,193,Sellerio Editore Palermo,2008-11-20,,,"Una bella presa in giro, amorevole e leggiadra, dell'attività di giardiniere, delle sue convenzioni, abitudini e ripetizioni.",Finished on 2021-12-18,4,
9780990877462,Bedwetting and Accidents Aren't Your Fault,Why Potty Accidents Happen and How to Make Them Stop,Steve Hodges,Paperback,40,O'Regan Press,2017-xx-xx,,,,,,
9781735804446,The M.O.P. Book: Anthology Edition,A Guide to the Only Proven Way to STOP Bedwetting and Accidents,Steve Hodges,Paperback,164,O'Regan Press,2020-xx-xx,,,"Espone in maniera chiara, semplice, comprensibile e pratica il metodo e le varie procedure, ma elargisce anche un sacco di consigli utili ""tangenti"", al punto che per il momento non abbiamo ancora provato a usare il metodo completo perché sembrano funzionare alcune sue componenti. Comunque un testo decisamente utile, anche confortante.",Finished on 2021-11-04,4.5,
9780142413821,Esio Trot,,Roald Dahl,Others,,Penguin,xxxx-xx-xx,,,La storia è gradevole e simpatica come sempre ma devo dire che l'idea di un tizio che convince una donna a sposarlo con l'inganno non è invecchiata benissimo.,Finished on 2021-10-15,4,
9780142410394,The Twits,,Roald Dahl,Paperback,76,Penguin Books Ltd,2007-08-16,,,"Il Dahl più bizzarro, fuori di testa e cattivo. Divertente.",Finished on 2021-11-03,4,
9788894406535,Through the Moongate. The story of Richard Garriott vol.2,From Wing commander and Ultima VII to Portalarium,Andrea Contato,Paperback,288,G. De Gasperini,2021-05-31,,,"Un bel racconto, ricco, dettagliato e pieno di contributi da parte di chi c'era e che offre spunti e aneddoti ficcanti, sulla carriera di uno fra i più importanti e significativi sviluppatori di videogiochi (e non solo) di sempre.",Finished on 2021-10-15,4.5,
9782366243529,Comme un million de papillons noirs,,Laura Nsafou,Paperback,30,Cambourakis (Sorcières),2018-xx-xx,,,,,,
9788894406511,"Through the Moongate. The story of Richard Garriott, Origin Systems Inc. and Ultima. Vol. 1: From Akalabeth to Ultima VI",,Andrea Contato,Board Book,224,G. De Gasperini,2019-06-30,,,"Il libro racconta la vita e la carriera di Richard Garriott, tratteggiando inevitabilmente anche la storia di Origin Systems, di Ultima e di una certa fetta del settore dei videogiochi dai primissimi anni Ottanta in poi. Approfondito, interessante, ricco di dettagli, imperdibile per chi ama questo genere di opere.",Finished on 2019-07-24,4.5,
9780142410332,Danny the Champion of the World,,Roald Dahl,Paperback,202,Penguin Books Ltd,2007-08-16,,,"Ci abbiamo messo un secolo a finire di leggerlo perché il tono a tratti lievemente più adulto del solito metteva in difficoltà mia figlia. E in particolare si è molto risentita per la parte in cui il padre cade nel fosso e si rompe una gamba. Siamo però arrivati in fondo ed è un bel libro, con un racconto coinvolgente e un bello spirito, anche se manca ovviamente la fantasia delle storie più surreali di Dahl.",Finished on 2021-10-08,4.5,
9781783786435,The Manningtree Witches,The best historical novel... since Wolf Hall,A. K. Blakemore,Hardcover,304,Granta,2021-03-04,,,,,,
9780452295292,City Of Thieves,,David Benioff,Paperback,258,Plume Books,2009-04-01,,,"Uno sguardo affascinante sulla Seconda Guerra Mondiale vista dall'occhio della gente comune russa sotto formo di una storia di genere appassionante, ricca di spunti, dallo sviluppo solo all'apparenza prevedibile, che sa emozionare fino all'ultimo divertendo, commovendo, spaventando. ",Finished on 2021-08-17,4.5,
9780141365435,The Giraffe and the Pelly and Me,,Roald Dahl,Paperback,96,Puffin,2016-02-11,,,"Questa cosa che a un certo punto Dahl ha iniziato a infilare accenni che collegavano i vari libri mi fa morire. Quando qui viene menzionata la fabbrica di Willy Wonka, mia figlia si è gasata. Comunque il libro è delizioso: come spesso accade alle storie brevi di Dahl, è divertente, fantasioso, piacevolissimo.",Finished on 2021-08-11,4.5,
9781783529483,"Itchy, Tasty",An Unofficial History of Resident Evil,Alex Aniel,Hardcover,288,Unbound,2021-xx-xx,,,"Un bel dietro le quinte su dieci anni di una fra le serie più importanti del videogioco contemporaneo, molto interessante per alcuni aneddoti per i contributi dei vari sviluppatori intervistati (ci sono tutti i più importanti, da Tokuro Fujiwara in su), anche se la scrittura non è particolarmente brillante o ricca di spunti.",Finished on 2021-07-22,4,
9781587612558,Raising Girls,Why Girls Are Different-and How to Help Them Grow Up Happy and Strong,"Gisela Preuschoff, Steve Biddulph",Paperback,204,Celestial Arts,2006-02-07,,,,,,
9781847679789,The Bones of Grace,,Tahmima Anam,Paperback,432,Canongate Books,2017-02-02,,,,,,
9781529035995,Luster,,Raven Leilani,Paperback,227,Picador,2020-08-xx,,,,,,
9782072917752,Romans,,Patrick Modiano,Paperback,1088,Gallimard (Quarto),2020-11-05,,,,,,
